it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
828000,0.5379,0.5379,-7.1011,-6.9500,0.0124,0.0112,0.8214,0.0095,0.0185,0.7085,10.00,0.200,0.690,0.800,0.0489,0.0523,0.0093,0.00244,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00220
828200,0.5379,0.5379,-7.0425,-6.8835,0.0127,0.0150,0.7947,0.0232,0.0136,0.6528,10.00,0.200,0.690,0.800,0.0432,0.0518,0.0115,0.00366,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00220,0.00220
828400,0.5379,0.5379,-7.0425,-6.8835,0.0156,0.0146,0.8612,0.0123,0.0317,0.9946,10.00,0.200,0.690,0.800,0.0534,0.0450,0.0115,0.00195,0.00439,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00317
828600,0.5379,0.5379,-6.9913,-6.7714,0.0164,0.0149,0.8133,0.0151,0.0204,0.7553,10.00,0.200,0.690,0.800,0.0509,0.0540,0.0090,0.00293,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00146
828800,0.5379,0.5379,-6.9913,-6.7714,0.0120,0.0100,0.7412,0.0193,0.0160,0.7480,10.00,0.200,0.690,0.800,0.0440,0.0656,0.0083,0.00317,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00098
829000,0.5379,0.5379,-6.9913,-6.7714,0.0123,0.0127,0.7613,0.0180,0.0156,0.6792,10.00,0.200,0.690,0.800,0.0609,0.0572,0.0073,0.00195,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00122
829200,0.5379,0.5379,-7.1594,-6.7020,0.0156,0.0098,0.9495,0.0111,0.0178,0.7851,10.00,0.200,0.690,0.800,0.0533,0.0419,0.0085,0.00244,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
829400,0.5379,0.5379,-7.1594,-6.7020,0.0134,0.0176,0.8829,0.0190,0.0168,0.6114,10.00,0.200,0.690,0.800,0.0595,0.0453,0.0103,0.00195,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00317
829600,0.5379,0.5379,-7.0648,-6.8826,0.0177,0.0084,0.8478,0.0163,0.0129,0.8507,10.00,0.200,0.690,0.800,0.0486,0.0510,0.0085,0.00317,0.00220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00220
829800,0.5379,0.5379,-7.0648,-6.8826,0.0218,0.0133,0.8702,0.0159,0.0367,0.6594,10.00,0.200,0.690,0.800,0.0414,0.0587,0.0107,0.00439,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00244
830000,0.5379,0.5379,-7.0648,-6.8826,0.0153,0.0107,0.9633,0.0205,0.0186,0.5692,10.00,0.200,0.690,0.800,0.0549,0.0487,0.0073,0.00171,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00220
830200,0.5379,0.5379,-7.0113,-6.7941,0.0101,0.0197,0.9309,0.0211,0.0188,0.6747,10.00,0.200,0.690,0.800,0.0347,0.0544,0.0112,0.00293,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00293,0.00195
830400,0.5379,0.5379,-7.0113,-6.7941,0.0107,0.0112,0.9452,0.0200,0.0149,0.7148,10.00,0.200,0.690,0.800,0.0524,0.0634,0.0073,0.00244,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00122
830600,0.5379,0.5379,-7.0049,-6.9450,0.0131,0.0176,0.8892,0.0157,0.0102,0.7934,10.00,0.200,0.690,0.800,0.0571,0.0445,0.0095,0.00171,0.00610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00122
830800,0.5379,0.5379,-7.0049,-6.9450,0.0105,0.0120,1.0011,0.0207,0.0195,0.5996,10.00,0.200,0.690,0.800,0.0455,0.0550,0.0100,0.00342,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00195
831000,0.5379,0.5379,-7.0049,-6.9450,0.0141,0.0139,0.8497,0.0152,0.0162,0.8660,10.00,0.200,0.690,0.800,0.0475,0.0528,0.0088,0.00269,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00171
831200,0.5379,0.5379,-7.0679,-6.8512,0.0185,0.0169,0.8965,0.0145,0.0235,0.9042,10.00,0.200,0.690,0.800,0.0454,0.0418,0.0112,0.00366,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00244
831400,0.5379,0.5379,-7.0679,-6.8512,0.0151,0.0128,0.7510,0.0136,0.0142,0.9470,10.00,0.200,0.690,0.800,0.0396,0.0634,0.0085,0.00342,0.00171,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00146
831600,0.5379,0.5379,-7.1253,-6.7934,0.0122,0.0134,0.8807,0.0130,0.0175,0.7699,10.00,0.200,0.690,0.800,0.0461,0.0549,0.0088,0.00293,0.00220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00317
831800,0.5379,0.5379,-7.1253,-6.7934,0.0141,0.0097,0.8224,0.0103,0.0172,0.8210,10.00,0.200,0.690,0.800,0.0583,0.0462,0.0068,0.00122,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00220
